DataZone,DataZoneName,IntZone,IntZoneName,CA,CAName,HSCP,HSCPName,HB,HBName,Country
S01007284,"Mull, Iona, Coll and Tiree - 01",S02001370,"Mull, Iona, Coll and Tiree",S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007285,"Mull, Iona, Coll and Tiree - 02",S02001370,"Mull, Iona, Coll and Tiree",S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007286,"Mull, Iona, Coll and Tiree - 03",S02001370,"Mull, Iona, Coll and Tiree",S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007287,"Mull, Iona, Coll and Tiree - 04",S02001370,"Mull, Iona, Coll and Tiree",S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007288,"Mull, Iona, Coll and Tiree - 05",S02001370,"Mull, Iona, Coll and Tiree",S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007289,Oban South - 01,S02001371,Oban South,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007290,Oban South - 02,S02001371,Oban South,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007291,Oban South - 03,S02001371,Oban South,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007292,Oban South - 04,S02001371,Oban South,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007293,Oban South - 05,S02001371,Oban South,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007294,Oban South - 06,S02001371,Oban South,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007295,Oban South - 07,S02001371,Oban South,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007296,Oban South - 08,S02001371,Oban South,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007297,Oban North - 01,S02001372,Oban North,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007298,Oban North - 02,S02001372,Oban North,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007299,Oban North - 03,S02001372,Oban North,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007300,Oban North - 04,S02001372,Oban North,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007301,Benderloch Trail - 01,S02001373,Benderloch Trail,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007302,Benderloch Trail - 02,S02001373,Benderloch Trail,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007303,Benderloch Trail - 03,S02001373,Benderloch Trail,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007304,Benderloch Trail - 04,S02001373,Benderloch Trail,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007305,Benderloch Trail - 05,S02001373,Benderloch Trail,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007306,Benderloch Trail - 06,S02001373,Benderloch Trail,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007307,Benderloch Trail - 07,S02001373,Benderloch Trail,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007308,Loch Awe - 01,S02001374,Loch Awe,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007309,Loch Awe - 02,S02001374,Loch Awe,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007310,Loch Awe - 03,S02001374,Loch Awe,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007311,Mid Argyll - 01,S02001375,Mid Argyll,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007312,Mid Argyll - 02,S02001375,Mid Argyll,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007313,Mid Argyll - 03,S02001375,Mid Argyll,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007314,Mid Argyll - 04,S02001375,Mid Argyll,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007315,Greater Lochgilphead - 01,S02001376,Greater Lochgilphead,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007316,Greater Lochgilphead - 02,S02001376,Greater Lochgilphead,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007317,Greater Lochgilphead - 03,S02001376,Greater Lochgilphead,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007318,Greater Lochgilphead - 04,S02001376,Greater Lochgilphead,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007319,Greater Lochgilphead - 05,S02001376,Greater Lochgilphead,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007320,Knapdale - 01,S02001377,Knapdale,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007321,Knapdale - 02,S02001377,Knapdale,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007322,Knapdale - 03,S02001377,Knapdale,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007323,Knapdale - 04,S02001377,Knapdale,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007324,Whisky Isles - 01,S02001378,Whisky Isles,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007325,Whisky Isles - 02,S02001378,Whisky Isles,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007326,Whisky Isles - 03,S02001378,Whisky Isles,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007327,Whisky Isles - 04,S02001378,Whisky Isles,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007328,Whisky Isles - 05,S02001378,Whisky Isles,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007329,Kintyre Trail - 01,S02001379,Kintyre Trail,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007330,Kintyre Trail - 02,S02001379,Kintyre Trail,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007331,Kintyre Trail - 03,S02001379,Kintyre Trail,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007332,Kintyre Trail - 04,S02001379,Kintyre Trail,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007333,Campbeltown - 01,S02001380,Campbeltown,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007334,Campbeltown - 02,S02001380,Campbeltown,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007335,Campbeltown - 03,S02001380,Campbeltown,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007336,Campbeltown - 04,S02001380,Campbeltown,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007337,Campbeltown - 05,S02001380,Campbeltown,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007338,Campbeltown - 06,S02001380,Campbeltown,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007339,Campbeltown - 07,S02001380,Campbeltown,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007340,Bute - 01,S02001381,Bute,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007341,Bute - 02,S02001381,Bute,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007342,Bute - 03,S02001381,Bute,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007343,Bute - 04,S02001381,Bute,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
S01007344,Rothesay Town - 01,S02001382,Rothesay Town,S12000035,Argyll and Bute,S37000004,Argyll and Bute,S08000022,NHS Highland,S92000003
